aF1,bF1,cF1,dF1,F2,F3,F4,F5,F6,aF7,bF7,CF7,aF8,bF8,cF8,aF9,bF9,cF9,dF9,af10,bf10,cf10,df10,Label
0.5836766215,0.889686357,0.8981245693,0.7469302402,0.4566363125,1.150400278,1.136279841,0.946625363,2.704392709,0.3604906319,0.3329156523,0.4940833952,0.3604906319,0.3329156523,0.4940833952,1.325561968,0.928142737,0.5825350794,0.3068601176,0.1218272214,0.1389019926,0.117715324,0.09607286821,Person 1
0.5788694159,0.8926581705,0.8977597558,0.7442636805,0.4537970858,1.157935243,1.138101058,0.9463771292,2.702560303,0.3420830986,0.3258250738,0.4891700964,0.3420830986,0.3258250738,0.4891700964,1.329816469,0.9286192543,0.5795035708,0.302772706,0.1197833308,0.13839106,0.1177256452,0.09518008814,Person 1
0.5793939239,0.894790942,0.9018147921,0.7562685634,0.4526354873,1.162107432,1.13624934,0.9495350436,2.693533579,0.3335765781,0.3113067095,0.4614698948,0.3335765781,0.3113067095,0.4614698948,1.34336777,0.9328361093,0.5865745427,0.3112722957,0.1197140931,0.1379913504,0.1182510399,0.0963747624,Person 1
0.5838275452,0.8775888217,0.89652886,0.7451913829,0.457371377,1.139547417,1.133251254,0.9428026523,2.707663561,0.4167029087,0.3522286573,0.5151716352,0.4167029087,0.3522286573,0.5151716352,1.325460602,0.9243063073,0.5808286493,0.3084837321,0.1219563859,0.1401518829,0.1186011139,0.09615535485,Person 1
0.5811918231,0.8839735797,0.9034704542,0.742123434,0.4572516562,1.127157,1.1376652,0.9404503406,2.667069775,0.3832014903,0.3188089895,0.5328822382,0.3832014903,0.3188089895,0.5328822382,1.319641221,0.9213734296,0.5760589154,0.3016443057,0.1243005377,0.140349024,0.120272677,0.09565677459,Person 1
0.5849330308,0.890507046,0.8967639834,0.7438196099,0.4584799333,1.128186775,1.137547477,0.9437432313,2.674539332,0.3583189297,0.3378429169,0.5005149846,0.3583189297,0.3378429169,0.5005149846,1.328572971,0.9175402135,0.5756017686,0.3057014369,0.1249601512,0.1403725666,0.1200644988,0.09703116818,Person 1
0.5745667135,0.8840017632,0.894323643,0.7283353992,0.4524951917,1.137171562,1.136749119,0.9453770358,2.69355143,0.3748710331,0.341513856,0.5364235367,0.3748710331,0.341513856,0.5364235367,1.334105233,0.9447605466,0.5845071165,0.3011649697,0.1226922425,0.1413023609,0.1191034667,0.09333188058,Person 1
0.5595308872,0.8891671558,0.9108855707,0.7609723184,0.4557937401,1.123977596,1.117621676,0.8676824851,2.778106552,0.3362276994,0.2703417003,0.4547838529,0.3362276994,0.2703417003,0.4547838529,1.33055119,0.9413830098,0.5742229443,0.2878660962,0.1192002525,0.1444568571,0.1235787033,0.101475317,Person 1
0.5816634481,0.9025192309,0.9015285316,0.7276723136,0.4630647618,1.045228895,1.098689649,0.7780595728,2.830446337,0.3038149047,0.3069025827,0.5418515957,0.3038149047,0.3069025827,0.5418515957,1.225566428,0.8874634271,0.5010818468,0.1951751428,0.1304553731,0.1510231241,0.1317531517,0.1017725656,Person 2
0.6161319382,0.9118489338,0.9182750258,0.7651174498,0.4532119977,1.182589371,1.098327121,0.9076893126,2.783622828,0.2980926613,0.2763621146,0.5179194241,0.2980926613,0.2763621146,0.5179194241,1.531539383,1.123277899,0.6856285816,0.3318467751,0.1176324518,0.1395904218,0.122063615,0.09965282899,Person 2
0.6446187416,0.9080321447,0.926880821,0.7705408743,0.4482104789,1.18725556,1.103497605,0.8975772353,2.7139945,0.3491388601,0.2775833657,0.5935155343,0.3491388601,0.2775833657,0.5935155343,1.409165626,0.9556534951,0.6338011517,0.2942264592,0.118438996,0.1347758684,0.1219469344,0.09940834821,Person 2
0.5762506485,0.8864181469,0.9128303008,0.7735869373,0.4510499665,1.156533872,1.104414011,0.9420790035,2.746508354,0.366195213,0.2810407269,0.4489295761,0.366195213,0.2810407269,0.4489295761,1.359275091,1.005602785,0.6606259416,0.3426791963,0.1169213492,0.1385899159,0.1224637167,0.1015664399,Person 2
0.5961917198,0.9026900274,0.9227702514,0.763212986,0.4530367831,1.122051215,1.097240486,0.8538464782,2.865516922,0.3174894288,0.2519744701,0.5205812281,0.3174894288,0.2519744701,0.5205812281,1.381768098,0.9821368909,0.6246648871,0.2664948533,0.1230125707,0.1444325893,0.1282481877,0.1034499116,Person 2
0.6004759427,0.9204906991,0.911095731,0.7348026217,0.4599119154,1.165194055,1.09475664,0.8256471069,2.846457781,0.2484551081,0.2778130296,0.550890563,0.2484551081,0.2778130296,0.550890563,1.299632703,0.879100693,0.5623448003,0.215704885,0.1193571833,0.1377815058,0.12421384,0.09773093744,Person 2
0.6115786571,0.9180669606,0.9404406252,0.7796171446,0.4500747029,1.131541142,1.094261916,0.8422108714,2.769813233,0.267328438,0.1943283776,0.5247295862,0.267328438,0.1943283776,0.5247295862,1.799423365,1.120981818,0.7031869764,0.3433430254,0.1247685015,0.1449145305,0.1289549624,0.1036892557,Person 2
0.5816634481,0.9025192309,0.9015285316,0.7276723136,0.4630647618,1.045228895,1.098689649,0.7780595728,2.830446337,0.3038149047,0.3069025827,0.5418515957,0.3038149047,0.3069025827,0.5418515957,1.225566428,0.8874634271,0.5010818468,0.1951751428,0.1304553731,0.1510231241,0.1317531517,0.1017725656,Person 2
0.5543776221,0.8586197209,0.9253791883,0.7340968267,0.4498742867,1.184838482,1.107113393,0.9224625989,2.813124405,0.4646966335,0.2452678706,0.6287175981,0.4646966335,0.2452678706,0.6287175981,1.29147981,0.9654125162,0.7072781143,0.3482942567,0.1187508755,0.1362113173,0.1192836907,0.09384504428,Person 3
0.5783736503,0.8686051841,0.9183984203,0.7321993565,0.4559180462,1.132958945,1.101352983,0.9150487833,2.82571585,0.4527241207,0.2811602814,0.641553526,0.4527241207,0.2811602814,0.641553526,1.778123973,1.248669438,0.8301970718,0.429364002,0.1214583664,0.1407915433,0.120358222,0.09362664824,Person 3
0.568282743,0.8608765481,0.955858837,0.8049403139,0.4533688151,1.214014583,1.117480775,0.9225778782,2.770259377,0.4754832448,0.1508615774,0.5157953464,0.4754832448,0.1508615774,0.5157953464,1.275018109,1.065382933,0.6972752648,0.3442677631,0.1111161179,0.1327909403,0.1233500498,0.1027384042,Person 3
0.5765627326,0.8587131956,0.9428268431,0.7794324269,0.4538883251,1.155661684,1.100454302,0.8806841854,2.818484037,0.5007498582,0.2026335745,0.5791038386,0.5007498582,0.2026335745,0.5791038386,1.326321502,1.009491865,0.6764054828,0.339977284,0.1166357595,0.138858332,0.1253747761,0.1027482404,Person 3
0.5628858793,0.8537844141,0.9346822504,0.7530390909,0.4594241366,1.124072823,1.096562512,0.8545726165,2.755925991,0.5026343152,0.2245379119,0.624421019,0.5026343152,0.2245379119,0.624421019,1.103893054,0.9110302429,0.5824885582,0.2757626139,0.1204707242,0.1415079233,0.1255238323,0.09888507969,Person 3
0.568282743,0.8608765481,0.955858837,0.8049403139,0.4533688151,1.214014583,1.117480775,0.9225778782,2.770259377,0.4754832448,0.1508615774,0.5157953464,0.4754832448,0.1508615774,0.5157953464,1.275018109,1.065382933,0.6972752648,0.3442677631,0.1111161179,0.1327909403,0.1233500498,0.1027384042,Person 3
0.5543776221,0.8586197209,0.9253791883,0.7340968267,0.4498742867,1.184838482,1.107113393,0.9224625989,2.813124405,0.4646966335,0.2452678706,0.6287175981,0.4646966335,0.2452678706,0.6287175981,1.29147981,0.9654125162,0.7072781143,0.3482942567,0.1187508755,0.1362113173,0.1192836907,0.09384504428,Person 3
0.5783736503,0.8686051841,0.9183984203,0.7321993565,0.4559180462,1.132958945,1.101352983,0.9150487833,2.82571585,0.4527241207,0.2811602814,0.641553526,0.4527241207,0.2811602814,0.641553526,1.778123973,1.248669438,0.8301970718,0.429364002,0.1214583664,0.1407915433,0.120358222,0.09362664824,Person 3
0.5486876378,0.8694053688,0.9041625706,0.7466915318,0.4382033872,1.166199465,1.125341116,0.9723875178,2.644535841,0.4071949212,0.2988217368,0.4909957372,0.4071949212,0.2988217368,0.4909957372,1.474688684,1.120045539,0.6468067987,0.2764977296,0.1145662042,0.1361717318,0.1195213878,0.0975600074,Person 4
0.5588553091,0.8716312798,0.9051102174,0.7592944318,0.4382989018,1.165434928,1.129384322,0.9702439984,2.677701219,0.4104174622,0.3033793879,0.4661988109,0.4104174622,0.3033793879,0.4661988109,1.517247258,1.15118475,0.6635673919,0.2954488076,0.1148564718,0.1357011757,0.1192365658,0.0983277029,Person 4
0.5656818377,0.8665079141,0.8986766577,0.7520067853,0.4428425469,1.158777556,1.125274698,0.9787001348,2.740404122,0.4437517103,0.3368170191,0.4875570435,0.4437517103,0.3368170191,0.4875570435,1.481633503,1.143882699,0.6685686396,0.3259789554,0.113618532,0.1370926194,0.1185270181,0.09748540868,Person 4
0.5682868346,0.8669948061,0.9051128766,0.7818548924,0.4417697447,1.159995746,1.130950371,0.9793896368,2.706904561,0.445268311,0.3176584908,0.412637077,0.445268311,0.3176584908,0.412637077,1.504011255,1.153771084,0.6753734216,0.3389489581,0.1124638409,0.1363652357,0.1192539923,0.1012628944,Person 4
0.5639512945,0.868416299,0.9110121987,0.7909044822,0.4404497855,1.149550336,1.130234615,0.9711754868,2.739838768,0.4321800503,0.2922759593,0.3944877563,0.4321800503,0.2922759593,0.3944877563,1.537331885,1.167142773,0.6795469531,0.345358127,0.1143149019,0.1375531638,0.1211044765,0.1031933646,Person 4
0.5572113148,0.8677612652,0.9064730735,0.7746700312,0.4428659034,1.151117523,1.129608323,0.9742766653,2.742477891,0.4258211429,0.3011654854,0.4244181719,0.4258211429,0.3011654854,0.4244181719,1.549378525,1.174562935,0.6851210575,0.3455779883,0.1140872368,0.1371336001,0.1202728253,0.1009976417,Person 4
0.5773911941,0.8761708927,0.9196362839,0.791589518,0.4424748714,1.132246759,1.106013168,0.804400547,2.784046626,0.4144495357,0.2689731482,0.428565818,0.4144495357,0.2689731482,0.428565818,1.150516218,0.830623653,0.4842232762,0.1888308143,0.1160081225,0.1406402361,0.1257187585,0.1051098033,Person 4
0.5716973324,0.8915739005,0.9159644741,0.7928129672,0.4405775826,1.135154845,1.120963637,0.7968488009,2.822153698,0.3389623072,0.2627123532,0.3849969617,0.3389623072,0.2627123532,0.3849969617,1.127324908,0.8485363146,0.4916223695,0.1894258163,0.1157901198,0.1409989355,0.1251742716,0.1057912147,Person 4
0.6044338278,0.8642876772,0.9005651847,0.7640038962,0.4427459039,1.110279543,1.104569325,0.8208667059,2.92877255,0.5222640463,0.3826566955,0.5255311355,0.5222640463,0.3826566955,0.5255311355,1.322155317,1.063420059,0.5980246109,0.3118614627,0.1144430195,0.142183776,0.1217674457,0.1034965876,Person 5
0.6092149262,0.8654532976,0.8977959187,0.7728594495,0.4414898004,1.142903042,1.100830735,0.8331583186,2.903709438,0.5250841304,0.3988632956,0.4875790794,0.5250841304,0.3988632956,0.4875790794,1.348857607,1.094333486,0.60325098,0.3252106469,0.1135015767,0.1401293851,0.1187391677,0.1019015614,Person 5
0.6012173102,0.8720252298,0.9027176723,0.7719036852,0.4433366203,1.125414151,1.100364369,0.8319806533,2.940081467,0.4725665721,0.3592299953,0.4830508184,0.4725665721,0.3592299953,0.4830508184,1.382809544,1.088915329,0.6151673452,0.3316402914,0.1151308197,0.1419305997,0.1213014577,0.1035154256,Person 5
0.6220027584,0.8705491299,0.9103648059,0.7726094753,0.4427715467,1.148311176,1.100718487,0.8329186118,2.943824048,0.5208318644,0.3606377092,0.5542439818,0.5208318644,0.3606377092,0.5542439818,1.389677006,1.099637565,0.6133045288,0.3235058427,0.1139209467,0.1389865652,0.1205802503,0.102325909,Person 5
